x,y
113,3
112,4
112,6
111,7
111,8
109,10
107,10
106,9
105,9
104,8
102,8
101,7
99,7
98,6
91,6
90,7
89,7
88,8
83,8
82,9
81,9
76,14
74,14
73,15
72,15
67,20
67,21
66,22
66,23
65,24
65,26
60,31
60,32
59,33
59,35
58,36
58,44
57,45
57,46
55,48
55,53
56,54
56,55
57,56
57,58
56,59
56,60
55,61
55,66
56,67
56,68
57,69
57,70
58,71
58,73
59,74
59,77
60,78
60,80
61,81
61,82
63,84
64,84
65,85
66,85
69,88
68,89
68,90
67,91
66,91
64,93
64,94
63,95
63,96
62,97
62,100
61,101
61,107
60,108
60,111
59,112
59,114
58,115
58,116
57,117
57,118
56,119
56,120
50,126
50,128
48,130
47,130
45,132
44,132
41,135
40,135
35,140
34,140
16,158
16,159
13,162
13,163
12,164
12,165
11,166
11,167
10,168
10,169
9,170
9,172
8,173
8,175
7,176
7,178
6,179
6,182
5,183
5,188
4,189
4,197
3,198
3,220
4,221
4,223
6,225
7,225
8,226
14,226
15,227
17,227
18,228
21,228
22,229
24,229
25,230
27,230
28,231
29,231
30,232
32,232
33,233
34,233
35,234
37,234
38,235
40,235
41,236
42,236
43,237
46,237
47,238
49,238
50,239
52,239
53,240
62,240
63,241
63,243
66,246
74,246
75,247
91,247
92,248
100,248
101,249
108,249
109,250
112,250
113,249
119,249
120,248
125,248
126,247
128,247
129,246
130,246
133,243
133,237
132,236
132,221
131,220
131,214
130,213
130,210
129,209
129,207
128,206
128,204
127,203
127,201
126,200
126,199
125,198
125,195
124,194
124,191
122,189
122,188
120,186
120,182
119,181
119,179
118,178
118,177
117,176
117,175
116,174
116,173
115,172
115,171
114,170
114,169
113,168
113,166
112,165
112,164
111,163
111,162
109,160
109,159
107,157
106,157
104,155
105,154
105,150
104,149
104,148
103,148
101,146
100,146
99,145
99,144
98,143
98,142
97,141
97,139
96,138
96,136
95,135
95,133
94,132
94,131
93,130
93,128
92,127
92,126
91,125
91,124
90,123
90,122
91,121
92,121
97,126
97,127
99,129
99,131
100,132
100,134
101,135
101,137
102,138
102,139
103,140
103,141
107,145
108,145
109,146
115,146
116,145
121,145
122,144
125,144
126,143
128,143
129,142
130,142
130,141
131,140
131,138
130,137
130,124
131,123
131,121
132,120
132,119
134,117
134,116
135,115
136,115
140,119
140,120
141,121
141,123
142,124
142,128
143,129
143,133
144,134
144,136
145,137
145,141
146,142
146,148
156,158
156,159
157,160
157,178
158,179
158,191
157,192
157,193
156,194
156,195
153,198
153,199
152,200
152,201
151,202
151,204
150,205
150,206
149,207
149,208
148,209
148,210
147,211
147,212
146,213
146,214
144,216
143,216
142,217
142,221
143,222
143,229
144,230
144,244
145,244
146,245
155,245
156,244
159,244
160,243
162,243
163,242
164,242
165,241
166,241
167,240
168,240
169,239
170,239
172,237
173,237
185,225
186,225
188,223
189,223
192,220
192,219
193,218
193,199
192,198
192,191
191,190
191,185
190,184
190,181
189,180
189,179
188,178
188,177
186,175
186,174
184,172
184,171
182,169
182,168
181,167
181,166
180,165
180,164
179,163
179,162
178,161
178,160
177,159
177,158
176,157
176,156
175,155
175,154
174,153
174,152
171,149
171,148
166,143
165,143
164,142
159,142
155,138
155,136
154,135
154,133
153,132
153,129
152,128
152,124
151,123
151,120
150,119
150,117
149,116
149,115
148,114
147,114
146,113
145,113
144,112
141,112
139,110
139,108
138,107
138,97
139,96
139,90
140,89
140,88
139,87
139,88
138,89
138,90
137,91
137,93
136,94
136,96
135,97
135,99
134,100
134,101
133,102
133,104
132,105
132,106
131,107
131,108
129,110
129,111
127,113
127,114
125,116
124,116
123,117
122,117
121,118
118,118
117,117
115,117
114,116
113,116
112,115
111,115
110,114
109,114
108,113
107,113
106,112
105,112
104,111
103,111
102,110
101,110
100,109
99,109
98,108
97,108
96,107
95,107
94,106
93,106
92,105
91,105
90,104
89,104
88,103
86,103
84,101
83,101
80,98
80,97
79,96
79,95
78,94
78,93
72,87
72,86
70,84
70,83
68,81
68,80
67,79
67,74
68,73
70,73
74,77
74,78
77,81
78,81
79,80
79,74
81,72
83,72
84,71
87,71
88,70
89,70
90,69
91,69
92,68
93,68
94,69
94,70
93,71
95,73
102,73
103,72
105,72
107,70
108,70
109,69
110,69
110,59
108,57
98,57
97,58
95,58
94,59
93,59
92,60
91,60
90,61
89,61
87,63
86,63
85,64
82,61
82,60
80,58
80,57
79,56
79,55
78,54
78,53
80,51
81,52
84,52
85,53
88,53
89,52
86,49
87,48
89,48
89,46
88,45
88,44
87,43
87,41
88,40
88,39
89,38
90,38
95,43
102,43
103,42
105,42
106,41
107,41
109,39
110,39
112,37
114,37
115,38
116,38
120,42
120,43
123,46
123,47
124,48
126,48
132,54
135,54
137,56
137,58
136,59
134,57
133,57
132,56
125,56
124,57
123,57
122,58
121,58
121,59
120,60
120,61
119,62
119,69
120,70
120,72
121,73
121,76
122,77
122,79
123,80
123,81
124,82
124,85
123,86
121,86
120,87
119,87
117,85
115,85
114,86
113,86
112,85
112,82
109,82
103,88
103,89
102,90
102,91
101,92
101,93
100,94
100,98
101,98
104,95
106,95
107,96
110,96
111,97
112,97
113,98
114,98
115,99
120,99
121,98
122,98
123,97
124,97
125,96
128,96
129,97
130,96
130,95
131,94
131,89
130,88
130,87
126,83
126,82
125,81
125,79
124,78
124,75
125,74
126,75
128,75
129,76
130,75
131,75
132,74
133,74
136,71
139,74
139,79
140,80
143,80
144,79
145,79
148,76
148,74
149,73
149,72
148,71
148,67
147,66
148,65
148,64
149,63
150,63
153,60
152,59
151,59
150,58
150,57
151,56
151,54
152,53
152,52
151,51
151,50
149,48
149,38
148,37
148,34
147,33
147,32
144,29
143,29
141,27
141,24
140,23
140,22
139,21
139,20
136,17
134,17
133,16
132,16
130,14
130,13
128,11
127,11
126,10
124,10
123,9
122,9
121,10
118,10
116,8
116,6
115,5
115,3
