x,y
181,73
180,74
177,74
176,75
174,75
169,80
169,82
168,83
168,85
167,86
167,88
166,89
166,91
165,92
165,94
164,95
164,97
163,98
163,100
162,101
162,103
161,104
161,106
160,107
160,108
159,109
159,111
158,112
158,114
157,115
157,117
156,118
156,120
155,121
155,123
154,124
154,126
153,127
153,129
152,130
152,132
151,133
151,135
150,136
150,138
149,139
149,141
148,142
148,144
147,145
147,146
146,147
146,149
145,150
145,152
144,153
144,155
143,156
143,158
142,159
142,161
141,162
141,164
140,165
140,167
139,168
139,170
138,171
138,173
137,174
137,176
136,177
136,179
135,180
135,182
134,183
134,185
133,186
133,187
132,188
132,190
131,191
131,193
130,194
130,196
129,197
129,199
128,200
128,202
127,203
127,205
126,206
126,208
125,209
125,211
124,212
124,214
123,215
123,217
122,218
122,220
121,221
121,222
120,223
120,225
119,226
119,228
118,229
118,231
117,232
117,234
116,235
116,237
115,238
115,240
114,241
114,243
113,244
113,246
112,247
112,249
111,250
111,252
110,253
110,255
109,256
109,258
108,259
108,260
107,261
107,263
106,264
106,266
105,267
105,269
104,270
104,272
103,273
103,275
102,276
102,278
101,279
101,281
100,282
100,284
99,285
99,287
98,288
98,290
97,291
97,293
96,294
96,296
95,297
95,298
94,299
94,301
93,302
93,304
92,305
92,307
91,308
91,310
90,311
90,313
89,314
89,316
88,317
88,319
87,320
87,322
86,323
86,330
88,332
89,332
90,333
91,333
92,334
96,334
97,335
130,335
131,334
133,334
134,333
135,333
139,329
139,327
140,326
140,324
141,323
141,321
142,320
142,318
143,317
143,315
144,314
144,312
145,311
145,309
146,308
146,306
147,305
147,303
148,302
148,300
149,299
149,297
150,296
150,294
151,293
151,291
152,290
152,288
153,287
153,285
154,284
154,283
155,282
243,282
245,284
245,286
246,287
246,289
247,290
247,292
248,293
248,295
249,296
249,298
250,299
250,301
251,302
251,304
252,305
252,307
253,308
253,310
254,311
254,313
255,314
255,317
256,318
256,320
257,321
257,323
258,324
258,326
259,327
259,328
260,329
260,330
262,332
263,332
264,333
265,333
266,334
269,334
270,335
305,335
306,334
308,334
309,333
311,333
313,331
313,330
314,329
314,325
313,324
313,321
312,320
312,318
311,317
311,315
310,314
310,312
309,311
309,309
308,308
308,306
307,305
307,303
306,302
306,300
305,299
305,297
304,296
304,295
303,294
303,292
302,291
302,289
301,288
301,286
300,285
300,283
299,282
299,280
298,279
298,277
297,276
297,274
296,273
296,271
295,270
295,268
294,267
294,265
293,264
293,262
292,261
292,259
291,258
291,257
290,256
290,254
289,253
289,251
288,250
288,248
287,247
287,245
286,244
286,242
285,241
285,239
284,238
284,236
283,235
283,233
282,232
282,230
281,229
281,227
280,226
280,224
279,223
279,222
278,221
278,219
277,218
277,216
276,215
276,213
275,212
275,210
274,209
274,207
273,206
273,204
272,203
272,201
271,200
271,198
270,197
270,195
269,194
269,192
268,191
268,189
267,188
267,186
266,185
266,184
265,183
265,181
264,180
264,178
263,177
263,175
262,174
262,172
261,171
261,169
260,168
260,166
259,165
259,163
258,162
258,160
257,159
257,157
256,156
256,154
255,153
255,151
254,150
254,148
253,147
253,146
252,145
252,143
251,142
251,140
250,139
250,137
249,136
249,134
248,133
248,131
247,130
247,128
246,127
246,125
245,124
245,122
244,121
244,119
243,118
243,116
242,115
242,113
241,112
241,110
240,109
240,108
239,107
239,105
238,104
238,102
237,101
237,99
236,98
236,96
235,95
235,93
234,92
234,90
233,89
233,87
232,86
232,84
231,83
231,81
230,80
230,79
227,76
226,76
225,75
224,75
223,74
220,74
219,73
