x,y
60,16
60,17
59,18
59,19
58,20
58,23
57,24
57,27
56,28
56,35
57,36
57,41
58,42
58,45
57,46
57,47
56,48
56,50
55,51
55,52
54,53
54,54
53,55
53,56
52,57
52,58
51,59
51,61
50,62
50,63
49,64
49,65
48,66
48,67
45,70
43,70
42,69
41,69
40,68
38,68
37,67
36,67
28,59
28,57
27,56
27,54
26,53
26,41
27,40
27,36
28,35
28,30
29,29
29,27
28,27
26,29
26,30
24,32
24,34
22,36
22,38
21,39
21,40
20,41
20,44
19,45
19,55
20,56
20,58
21,59
21,60
22,61
22,62
24,64
24,65
27,68
27,69
51,93
51,94
54,97
54,98
56,100
56,102
58,104
58,105
59,106
59,107
60,108
60,110
61,111
61,112
62,113
62,114
63,115
63,118
62,119
61,119
59,117
58,117
55,114
55,113
51,109
51,108
50,107
50,106
48,104
48,103
47,102
46,103
47,104
47,107
48,108
48,109
49,110
49,112
50,113
50,114
51,115
51,116
52,117
52,118
56,122
56,123
59,126
60,126
64,130
65,130
66,131
67,131
68,132
69,132
70,133
71,133
72,134
73,134
74,135
75,135
76,136
78,136
79,137
82,137
83,138
85,138
86,139
89,139
90,140
92,140
93,141
96,141
97,142
102,142
103,143
105,143
106,144
110,144
111,145
113,145
114,146
116,146
117,147
119,147
120,148
121,148
122,149
123,149
124,150
125,150
127,152
128,152
129,153
129,154
130,155
130,160
128,162
126,162
122,158
121,158
119,156
118,156
116,154
115,154
114,153
112,153
111,152
104,152
103,151
96,151
96,152
97,153
97,154
99,156
99,157
100,158
100,159
101,160
101,161
102,162
102,163
103,164
103,165
104,166
104,167
110,173
111,173
112,174
115,174
116,175
118,175
119,176
123,176
125,178
125,179
126,180
126,183
127,184
127,185
128,186
128,188
129,189
129,190
130,191
130,193
131,194
131,197
132,198
132,199
133,200
133,202
134,203
134,204
135,205
135,208
136,209
136,212
137,213
137,214
138,215
138,218
139,219
139,221
140,222
140,226
141,227
141,235
142,236
142,239
143,240
143,243
144,244
144,246
145,247
145,248
146,249
146,250
147,251
147,252
148,253
148,254
152,258
153,258
154,259
156,259
157,260
161,260
162,259
163,259
164,258
165,258
170,253
170,252
172,250
172,249
173,248
173,245
174,244
174,241
175,240
175,235
176,234
176,228
177,227
177,223
178,222
178,216
179,215
179,213
180,212
180,208
181,207
181,205
182,204
182,201
183,200
183,196
184,195
184,194
185,193
185,190
186,189
186,188
187,187
187,185
188,184
188,182
189,181
189,180
190,179
190,178
194,174
196,174
197,173
200,173
201,172
202,172
203,171
204,171
205,170
206,170
212,164
212,163
213,162
213,161
214,160
214,158
215,157
215,155
216,154
216,152
217,151
217,148
210,148
209,149
207,149
206,150
204,150
203,151
202,151
201,152
199,152
198,153
197,153
195,155
194,155
192,157
191,157
188,160
186,160
185,161
184,161
183,160
182,160
180,158
181,157
181,156
185,152
186,152
187,151
189,151
191,149
192,149
193,148
194,148
195,147
196,147
197,146
199,146
201,144
202,144
203,143
204,143
205,142
206,142
207,141
208,141
209,140
210,140
211,139
212,139
213,138
214,138
215,137
217,137
218,136
219,136
220,135
222,135
223,134
226,134
227,133
229,133
230,132
237,132
238,131
241,131
242,130
247,130
248,129
251,129
252,128
253,128
254,127
256,127
257,126
258,126
259,125
261,125
263,123
264,123
266,121
267,121
269,119
270,119
272,117
272,116
276,112
276,111
277,110
277,109
278,108
278,106
279,105
279,103
280,102
280,100
279,100
277,102
277,103
267,113
266,113
264,115
263,115
262,116
261,116
260,117
259,117
258,118
256,118
255,117
255,114
256,113
256,112
257,111
257,109
258,108
258,106
259,105
259,104
260,103
260,102
262,100
262,99
263,98
263,97
264,96
264,95
267,92
267,91
281,77
282,77
285,74
286,74
289,71
290,71
299,62
299,61
300,60
300,59
301,58
301,57
302,56
302,53
303,52
303,51
302,50
302,46
301,45
301,44
300,43
300,42
299,41
299,40
298,39
298,38
294,34
294,33
289,28
289,27
288,27
286,25
286,26
287,27
287,28
288,29
288,30
289,31
289,32
290,33
290,35
291,36
291,37
292,38
292,40
293,41
293,45
294,46
293,47
293,50
292,51
292,52
290,54
290,55
287,58
286,58
283,61
282,61
280,63
279,63
278,64
277,64
275,66
274,66
273,67
269,67
267,65
267,64
263,60
263,58
262,57
262,56
261,55
261,54
260,53
260,51
259,50
259,49
258,48
258,41
259,40
259,38
260,37
260,26
259,25
259,23
258,22
258,21
257,20
257,19
256,18
256,17
255,16
255,23
254,24
254,27
252,29
250,29
249,28
248,28
247,27
246,27
245,26
243,26
242,25
240,25
239,24
238,24
237,25
239,27
239,28
241,30
241,31
243,33
243,34
245,36
245,37
246,38
246,39
247,40
247,41
249,43
249,44
250,45
250,46
251,47
251,48
253,50
253,52
254,53
254,55
255,56
255,57
256,58
256,60
257,61
257,62
258,63
258,67
259,68
259,74
260,75
260,82
259,83
259,89
258,90
258,92
257,93
257,94
256,95
256,96
255,97
255,98
253,100
253,101
250,104
249,104
248,103
248,102
246,100
246,99
245,98
245,97
242,94
241,94
240,93
239,93
238,92
237,92
236,91
234,91
234,92
236,94
236,95
237,96
237,98
239,100
239,102
240,103
240,104
241,105
241,108
242,109
242,115
240,117
239,117
235,121
234,121
233,122
232,122
231,123
230,123
229,124
228,124
227,125
226,125
225,126
222,126
221,127
219,127
218,128
215,128
214,129
211,129
210,128
210,123
209,122
209,119
208,118
207,118
206,119
206,121
205,122
205,125
204,126
204,127
203,128
203,129
202,130
202,131
