x,y
70,9
70,10
69,11
69,13
68,14
68,18
67,19
67,21
66,22
66,23
64,25
64,26
63,27
63,29
62,30
61,30
60,29
60,28
59,27
59,24
58,23
58,16
57,16
57,27
58,28
58,31
59,32
59,33
60,34
60,35
61,36
61,37
62,38
62,39
63,40
63,41
65,43
65,52
66,53
66,58
67,59
67,62
66,63
63,60
63,58
62,57
62,54
61,53
61,50
60,49
60,48
60,58
61,59
61,62
62,63
62,64
66,68
67,68
69,70
70,70
72,72
73,72
79,78
79,79
80,80
80,82
79,83
79,85
80,86
80,91
81,92
81,93
83,95
83,96
86,99
87,99
88,100
89,100
91,102
91,107
90,108
90,112
89,113
89,117
88,118
88,122
87,123
87,128
86,129
86,135
85,136
85,141
84,142
84,157
85,158
85,163
86,164
86,167
87,168
87,171
88,172
88,174
89,175
89,177
90,178
90,179
91,179
93,181
93,182
95,184
95,185
96,186
96,190
97,191
97,193
98,194
98,195
99,196
99,197
100,198
100,199
107,206
108,206
109,207
109,209
110,210
110,211
111,212
111,214
112,215
112,216
113,217
113,218
115,220
115,221
117,223
117,224
119,226
119,227
122,230
122,234
121,235
121,255
120,256
120,260
119,261
119,264
118,265
118,267
117,268
117,270
116,271
116,272
115,273
115,275
114,276
114,277
113,278
113,279
112,280
112,281
111,282
111,288
112,289
118,289
120,287
121,287
123,285
123,284
124,283
124,282
125,281
125,275
126,274
126,273
125,272
125,271
124,270
124,267
125,266
125,262
126,261
126,257
127,256
127,253
128,252
128,249
130,247
132,249
132,250
133,251
133,254
134,255
134,258
135,259
135,263
134,264
134,266
133,267
133,268
132,269
132,270
131,271
131,272
130,273
130,275
129,276
129,281
130,282
133,282
134,281
135,281
136,280
137,280
139,278
139,277
140,276
140,275
141,274
141,271
143,269
143,265
144,264
145,264
146,263
147,263
149,261
150,261
151,260
151,259
152,258
152,255
155,252
155,251
157,249
157,246
158,245
158,244
159,243
159,242
161,240
161,239
164,236
165,236
170,231
171,231
177,225
177,224
178,223
177,222
177,221
176,220
176,218
175,217
175,207
176,206
176,204
177,203
177,200
178,199
178,197
179,196
179,192
183,188
184,188
185,189
186,189
188,191
189,191
191,193
192,193
194,195
195,195
197,197
197,198
200,201
200,202
204,206
205,206
209,210
209,211
211,213
211,215
212,216
212,217
213,218
213,220
214,221
214,224
215,225
215,231
216,232
216,244
215,245
215,251
214,252
214,254
213,255
213,256
212,257
212,258
211,259
211,261
210,262
210,263
209,264
209,268
216,268
217,267
218,267
220,265
220,264
222,262
222,261
224,259
224,258
225,257
225,254
224,253
224,250
223,249
223,248
222,247
222,233
221,232
221,228
222,227
222,221
223,220
223,208
219,204
219,203
217,201
217,200
215,198
215,196
214,195
214,194
213,193
213,191
212,190
212,189
211,188
211,186
210,185
210,184
209,183
209,182
208,181
208,180
207,179
207,176
206,175
206,166
207,165
207,158
208,157
208,155
207,154
207,149
206,148
206,146
205,145
205,144
204,143
204,141
203,140
203,139
202,138
202,137
200,135
200,134
197,131
196,131
195,130
194,130
193,129
192,129
191,128
189,128
188,127
186,127
185,126
182,126
181,125
175,125
174,124
171,124
170,125
167,125
166,126
165,126
164,127
162,127
161,128
159,128
158,129
155,129
154,130
151,130
150,131
148,131
147,132
146,132
145,133
144,133
143,134
139,134
138,133
137,133
136,132
134,132
133,131
131,131
130,132
127,132
126,131
125,131
124,130
124,129
123,128
123,126
127,122
127,121
128,120
128,119
129,118
129,116
128,115
128,111
127,110
127,109
126,108
126,106
127,105
127,101
126,100
127,99
127,94
131,90
131,89
132,88
132,85
139,78
139,77
140,76
140,74
141,73
141,69
144,66
145,66
147,64
147,63
150,60
150,59
152,57
152,54
147,59
146,59
144,61
143,61
142,62
140,62
139,63
136,60
136,51
137,50
137,48
138,47
138,46
146,38
146,37
147,36
147,35
148,34
148,33
149,32
149,23
147,21
147,23
146,24
146,30
145,31
145,32
144,33
144,34
142,36
140,34
140,22
139,21
139,17
138,16
138,15
137,14
137,23
138,24
138,26
137,27
137,33
135,35
134,35
132,33
132,32
130,30
130,29
129,28
129,26
128,25
128,23
127,22
127,17
126,17
126,23
125,24
125,27
124,28
120,28
119,27
118,27
123,32
124,32
125,33
126,33
129,36
129,37
133,41
133,42
134,43
134,47
133,48
133,59
132,60
132,63
131,64
131,66
130,67
130,68
128,70
128,71
124,75
124,76
123,77
122,77
118,81
116,81
113,84
108,84
107,83
107,82
108,81
108,80
111,77
111,76
112,75
112,74
113,73
113,71
114,70
114,65
113,65
113,67
112,68
112,69
111,70
111,71
104,78
103,78
102,79
101,79
100,80
98,80
97,81
94,81
93,80
92,80
91,79
89,79
87,77
86,77
84,75
83,75
76,68
76,67
74,65
74,64
72,62
72,61
71,60
71,58
70,57
70,55
69,54
69,51
68,50
68,41
69,40
69,39
71,37
71,36
72,35
72,33
73,32
73,31
74,30
74,27
75,26
75,24
78,21
78,20
80,18
80,17
81,16
80,16
77,19
76,19
74,17
74,18
72,20
70,18
70,11
71,10
71,9
