x,y
234,21
233,22
228,22
227,23
223,23
222,24
219,24
218,25
215,25
214,26
212,26
211,27
208,27
207,28
205,28
204,29
201,29
200,30
197,30
196,31
193,31
192,32
187,32
186,33
181,33
180,32
172,32
171,31
167,31
166,30
162,30
161,29
157,29
156,28
153,28
152,27
149,27
148,26
144,26
143,25
139,25
138,24
133,24
132,23
125,23
124,24
117,24
116,25
114,25
113,26
111,26
110,27
109,27
108,28
107,28
104,31
103,31
102,32
102,33
99,36
99,37
98,38
98,39
96,41
96,42
95,43
95,44
93,46
93,47
90,50
90,51
88,53
88,54
86,56
86,57
85,58
85,59
84,60
84,62
83,63
83,65
82,66
82,69
81,70
81,73
80,74
80,76
79,77
79,80
78,81
78,84
77,85
77,88
76,89
76,93
75,94
75,97
74,98
74,100
73,101
73,104
72,105
72,107
71,108
71,109
70,110
70,111
69,112
69,113
68,114
68,115
67,116
67,117
66,118
66,119
64,121
64,122
59,127
58,127
56,129
55,129
54,130
52,130
51,131
41,131
40,130
38,130
37,129
35,129
34,128
33,128
31,126
30,126
26,122
26,121
24,119
24,118
23,117
23,116
22,115
22,113
21,112
21,99
22,98
22,95
23,94
23,93
24,92
24,91
25,90
25,89
26,88
26,87
29,84
29,83
34,78
35,78
36,77
37,77
38,76
39,76
40,75
50,75
50,74
51,73
51,72
50,71
50,70
47,67
46,67
45,66
44,66
43,65
41,65
40,64
37,64
36,65
34,65
33,66
32,66
31,67
30,67
28,69
27,69
18,78
18,79
16,81
16,82
14,84
14,85
12,87
12,88
11,89
11,90
10,91
10,92
9,93
9,95
8,96
8,98
7,99
7,102
6,103
6,122
7,123
7,126
8,127
8,129
9,130
9,131
10,132
10,133
11,134
11,135
14,138
14,139
19,144
20,144
23,147
24,147
25,148
26,148
27,149
28,149
29,150
30,150
31,151
32,151
33,152
35,152
36,153
40,153
41,154
45,154
46,155
70,155
71,154
75,154
76,155
72,159
71,159
71,160
72,160
73,161
83,161
84,160
85,160
86,159
87,159
88,158
89,158
92,155
93,155
98,150
98,149
103,144
103,143
105,141
105,140
106,139
106,138
108,136
108,135
109,134
109,133
111,131
111,130
113,128
114,128
115,127
116,127
117,126
119,126
120,125
122,125
123,124
127,124
128,123
132,123
133,122
136,122
137,121
139,121
140,122
141,122
144,125
145,125
147,127
148,127
150,129
150,137
149,138
149,144
148,145
148,151
147,152
147,157
146,158
146,162
145,163
145,167
144,168
144,173
143,174
143,178
142,179
142,183
141,184
141,188
140,189
140,193
139,194
139,198
138,199
138,204
137,205
137,210
136,211
136,217
135,218
135,224
134,225
134,232
133,233
133,241
132,242
132,246
131,247
131,248
129,250
129,251
125,255
124,255
120,259
120,260
119,261
119,264
121,266
122,266
123,267
127,267
128,268
150,268
151,267
153,267
154,266
155,266
156,265
156,264
157,263
157,258
156,257
156,256
155,255
155,250
156,249
156,248
157,247
157,246
158,245
158,243
159,242
159,241
160,240
160,238
161,237
161,236
162,235
162,233
163,232
163,230
164,229
164,227
165,226
165,225
166,224
166,222
167,221
167,220
168,219
168,218
169,217
169,215
170,214
170,213
171,212
171,211
172,210
172,209
173,208
173,206
174,205
174,204
175,203
175,202
177,200
178,201
178,202
179,203
179,205
180,206
180,210
181,211
181,216
182,217
182,220
183,221
183,223
184,224
184,226
185,227
185,228
186,229
186,230
187,231
187,233
188,234
188,235
189,236
189,237
190,238
190,239
191,240
191,241
192,242
192,244
193,245
193,246
192,247
192,250
191,251
191,252
190,253
190,254
189,255
189,259
191,261
209,261
210,260
213,260
214,259
217,259
218,258
219,258
220,257
221,257
