x,y
207,54
204,57
204,58
203,59
203,80
202,81
202,91
201,92
201,100
200,101
200,118
199,119
199,125
198,126
198,140
199,141
199,143
196,146
196,147
195,148
195,149
194,150
189,150
188,149
188,148
187,147
185,147
184,146
184,145
185,144
186,144
186,143
187,142
187,136
186,135
186,128
185,127
185,122
184,121
184,120
183,119
183,117
182,116
182,113
180,111
180,109
181,108
181,107
182,106
182,100
181,99
181,97
180,96
180,87
179,86
179,82
177,80
179,78
179,70
178,69
177,69
176,68
162,68
161,69
161,70
160,71
160,72
159,73
159,77
158,78
158,87
159,88
159,99
161,101
161,126
163,128
163,137
164,138
164,140
165,141
165,147
166,148
166,149
167,149
170,152
170,159
168,161
167,161
166,162
162,162
161,161
161,160
159,158
158,158
157,157
151,157
149,155
149,148
150,147
150,146
153,143
153,136
152,135
152,134
149,131
149,127
146,124
145,124
144,123
143,123
142,122
142,118
141,117
141,116
140,115
140,113
139,112
124,112
124,119
125,120
125,129
126,130
126,131
127,132
127,133
128,134
129,134
131,136
131,145
133,147
133,151
136,154
136,163
138,165
138,166
139,167
139,169
140,170
140,171
141,172
141,174
142,175
142,176
143,177
143,182
144,183
144,190
145,191
145,194
146,195
146,199
147,200
147,202
148,203
148,213
147,214
147,221
148,222
148,235
147,236
147,246
148,247
148,258
150,260
150,261
151,262
151,270
155,274
155,277
156,278
156,282
154,284
154,285
153,286
153,288
152,289
152,295
151,296
151,306
221,306
221,297
223,295
223,288
222,287
222,284
223,283
223,281
225,279
232,279
233,278
233,277
234,276
234,273
236,271
237,271
238,270
238,269
240,267
244,267
248,263
248,262
250,260
251,260
258,253
259,253
261,251
261,250
263,248
264,248
265,247
265,245
267,243
267,236
269,234
276,234
276,232
277,231
277,227
279,225
283,225
284,224
285,224
286,223
288,223
288,222
289,221
289,214
290,213
291,213
292,212
298,212
302,208
303,208
304,207
305,207
307,205
307,204
308,203
308,202
309,201
310,201
311,200
314,200
316,198
320,198
321,197
321,190
320,189
320,188
319,187
319,186
318,185
317,185
314,182
312,182
311,181
299,181
298,182
292,182
291,183
289,183
288,184
287,184
285,186
284,186
283,187
282,187
281,188
280,188
279,189
278,189
266,201
265,201
259,207
256,207
254,209
254,214
253,215
252,215
251,216
250,216
249,217
248,217
245,220
244,219
244,216
245,215
245,205
246,204
246,202
247,201
247,183
245,181
245,178
248,175
248,171
249,170
249,160
248,159
248,153
247,152
249,150
249,147
250,146
250,145
252,143
252,142
253,141
253,130
254,129
254,128
255,127
255,122
254,121
254,120
253,119
253,116
252,115
252,114
254,112
255,112
256,111
256,99
255,98
255,88
253,88
252,87
252,86
251,85
251,75
249,75
248,74
242,74
241,75
240,75
239,76
238,76
236,78
236,88
235,89
235,90
234,91
234,101
233,102
233,126
231,128
230,128
230,129
229,130
229,134
228,135
228,141
227,142
227,153
223,157
221,157
220,156
220,148
219,147
219,142
220,141
220,134
222,132
223,132
224,131
224,125
225,124
225,113
224,112
224,91
225,90
225,73
221,69
221,68
218,68
217,67
218,66
221,66
223,64
223,58
222,57
222,56
221,55
220,55
219,54
