x,y
183,7
182,8
176,8
175,9
174,9
173,10
171,10
170,11
169,11
168,12
167,12
166,13
165,13
163,15
162,15
161,16
160,16
157,19
156,19
149,26
149,27
145,31
145,33
142,36
142,38
141,39
141,40
139,42
139,44
138,45
138,47
137,48
137,49
135,51
135,55
134,56
134,58
132,60
132,64
131,65
131,72
130,73
130,74
129,75
129,76
128,77
128,86
127,87
127,91
126,92
126,93
125,94
125,100
124,101
124,112
123,113
123,117
122,118
122,119
121,120
121,133
120,134
120,141
119,142
119,143
118,144
118,147
117,148
117,164
116,165
116,169
115,170
115,172
114,173
114,186
113,187
113,197
112,198
112,200
111,201
111,205
110,206
110,225
109,226
109,234
108,235
108,236
107,237
107,251
106,252
106,263
105,264
105,266
103,268
103,280
102,281
102,284
100,286
100,289
99,290
99,293
98,294
98,295
96,297
96,299
93,302
93,303
89,307
88,307
85,310
84,310
83,311
82,311
81,312
79,312
78,313
60,313
59,312
58,312
57,311
56,311
55,310
53,310
52,309
51,309
49,307
49,306
48,305
48,303
50,301
51,301
52,300
53,300
54,299
55,299
56,298
57,298
59,296
59,295
60,294
60,285
59,284
59,283
58,283
57,282
56,282
54,280
51,280
50,279
43,279
42,280
39,280
37,282
36,282
32,286
32,296
34,298
34,299
35,300
35,301
36,302
36,303
44,311
45,311
46,312
47,312
49,314
50,314
51,315
52,315
53,316
55,316
56,317
61,317
62,318
79,318
80,317
85,317
86,316
88,316
89,315
91,315
92,314
93,314
94,313
95,313
96,312
97,312
98,311
99,311
102,308
103,308
110,301
110,300
111,299
112,299
112,298
115,295
115,294
116,293
116,292
119,289
119,287
120,286
120,284
123,281
123,278
124,277
124,275
126,273
126,272
127,271
127,265
128,264
128,262
130,260
130,253
131,252
131,246
132,245
132,244
133,243
133,242
134,241
134,229
135,228
135,225
136,224
136,223
137,222
137,213
138,212
138,204
139,203
139,201
140,200
140,199
141,198
141,184
142,183
142,179
143,178
143,177
144,176
144,169
145,168
145,155
146,154
146,151
147,150
147,149
148,148
148,127
149,126
149,118
151,116
151,105
152,104
152,84
153,83
153,79
154,78
154,77
155,76
155,63
156,62
156,55
157,54
157,53
158,52
158,49
159,48
159,40
160,39
160,38
161,37
161,36
162,35
162,32
163,31
163,30
165,28
165,27
166,26
166,25
167,24
167,23
175,15
177,15
178,14
179,14
180,13
181,13
182,12
200,12
201,13
203,13
204,14
205,14
206,15
207,15
209,17
210,17
212,19
212,20
213,21
212,22
212,23
211,24
210,24
209,25
208,25
207,26
206,26
205,27
204,27
202,29
202,30
199,33
199,38
200,39
200,40
203,43
204,43
206,45
209,45
210,46
218,46
219,45
222,45
224,43
225,43
227,41
227,39
230,36
230,34
228,32
228,31
227,30
227,27
226,26
226,24
223,21
223,20
218,15
217,15
215,13
214,13
212,11
210,11
209,10
208,10
207,9
206,9
205,8
198,8
197,7
