x,y
164,0
164,4
163,5
160,5
159,4
157,4
155,2
154,3
153,3
152,4
152,5
151,6
147,6
146,7
146,8
144,10
144,11
143,12
143,18
142,19
139,19
139,21
140,22
140,23
141,24
141,25
139,27
138,27
137,28
137,29
138,30
139,30
141,32
141,34
142,35
142,36
141,37
140,37
140,40
143,43
143,45
142,46
142,47
136,53
133,53
130,56
130,57
129,58
129,59
127,61
127,62
125,64
125,65
124,66
124,69
123,70
123,75
122,76
122,83
123,84
123,85
124,86
124,94
125,95
125,98
126,99
126,101
127,102
127,104
128,105
128,107
129,108
129,109
130,110
130,111
131,112
131,114
132,115
132,126
136,130
139,130
140,131
142,131
143,132
143,134
142,135
142,136
139,139
136,139
136,140
135,141
135,144
133,146
130,146
129,145
127,145
126,144
116,144
115,145
113,145
112,146
111,146
110,147
109,147
108,148
107,148
102,153
102,155
101,156
101,158
100,159
100,163
99,164
99,166
100,167
100,169
101,170
101,171
102,172
102,173
103,174
103,175
106,178
106,179
108,181
108,184
106,186
106,187
103,190
103,191
102,192
102,193
99,196
98,196
97,197
96,197
95,198
91,198
91,200
92,199
94,199
95,200
95,201
94,202
94,205
93,206
94,206
97,203
102,203
103,202
103,200
107,196
107,195
110,192
111,192
112,191
112,190
114,188
114,187
115,186
115,185
124,176
125,176
128,173
128,172
130,170
131,171
131,173
130,174
130,176
129,177
129,179
128,180
128,182
127,183
127,187
126,188
126,189
125,190
125,194
124,195
124,196
123,197
123,198
122,199
122,200
121,201
121,202
120,203
120,205
119,206
119,207
118,208
118,210
117,211
117,214
116,215
116,217
115,218
115,219
112,222
111,222
106,227
106,229
107,229
108,228
113,228
115,226
116,226
117,227
117,228
116,229
116,230
112,234
112,236
111,237
111,240
110,241
110,242
109,243
109,244
108,245
108,246
106,248
106,249
105,250
105,251
104,252
104,253
103,254
103,264
99,268
99,270
101,270
102,269
102,268
103,267
103,265
104,264
104,263
110,257
110,254
111,253
111,250
112,249
112,248
120,240
121,241
121,242
120,243
120,247
119,248
119,249
118,250
117,250
116,251
115,251
113,253
113,255
114,256
114,258
111,261
111,263
116,263
117,264
116,265
116,267
115,268
115,270
120,270
121,269
122,269
123,268
126,268
127,269
127,270
126,271
126,273
125,274
152,274
152,273
153,272
153,271
155,269
155,267
156,266
156,264
158,262
159,263
160,263
161,262
166,262
167,261
168,261
169,260
175,260
176,261
176,262
175,263
175,264
174,265
174,266
173,267
173,269
172,270
172,272
171,273
171,274
196,274
196,273
198,271
198,270
199,269
199,268
202,265
202,264
204,262
204,261
205,260
205,257
207,255
209,255
210,254
213,254
215,252
217,252
218,251
219,251
220,250
220,249
221,248
221,247
223,245
223,244
224,243
224,241
225,240
225,239
226,238
226,237
225,236
224,236
223,237
221,237
220,236
217,236
214,233
212,233
211,232
211,230
210,229
210,226
209,225
209,222
208,221
208,220
207,219
207,218
205,216
205,215
204,214
204,210
203,209
203,206
202,205
202,203
201,202
201,199
200,198
200,195
199,194
199,190
198,189
198,183
197,182
197,177
196,176
196,169
195,168
195,158
194,157
194,153
193,152
193,150
192,149
192,148
191,147
191,145
192,144
193,144
194,145
198,145
199,144
199,143
200,142
200,141
198,139
197,139
196,138
193,138
192,137
191,137
186,132
184,132
181,129
181,125
180,124
180,122
184,118
190,118
190,115
189,114
189,113
190,112
191,112
192,111
193,111
193,108
192,107
193,106
194,106
195,107
200,107
201,106
203,106
204,105
205,105
205,104
206,103
206,102
207,101
207,99
208,98
208,92
207,91
207,90
206,89
206,86
209,83
209,74
208,73
208,72
206,70
206,67
205,66
205,65
204,64
204,63
203,62
203,55
202,54
202,47
201,46
201,40
200,39
200,33
201,32
201,30
202,29
204,29
205,28
207,28
208,27
209,27
210,26
210,24
213,21
216,21
217,20
219,20
220,19
221,19
222,18
223,18
223,17
224,16
223,15
218,15
217,16
216,15
215,15
213,13
215,11
215,10
216,9
216,8
217,7
217,5
216,4
214,4
213,5
213,6
210,9
209,9
208,10
207,10
206,11
202,11
201,10
201,8
197,8
195,10
195,11
194,12
194,13
192,15
192,23
193,24
193,29
192,30
192,32
191,33
190,32
190,26
189,25
189,20
187,18
187,17
188,16
188,14
186,12
185,12
183,10
183,7
181,7
179,5
177,5
176,4
172,4
171,3
170,3
169,2
168,2
167,1
167,0
