x,y
171,1
170,2
164,2
162,4
161,4
158,7
158,8
157,9
157,10
156,11
156,13
155,14
155,17
154,18
154,26
155,27
155,29
156,30
156,31
158,33
158,34
161,37
163,37
164,38
167,38
168,39
169,39
170,40
170,41
171,42
178,42
179,43
182,43
183,44
186,44
187,45
187,53
186,54
186,57
184,59
184,60
183,61
183,62
182,63
182,65
181,66
181,70
180,71
180,74
179,75
179,77
178,78
178,80
177,81
177,83
175,85
175,86
174,87
174,88
171,91
170,90
170,88
171,87
171,84
170,83
169,83
168,82
167,83
165,83
164,82
163,82
162,81
161,81
158,84
157,84
156,83
156,81
155,80
153,80
152,79
151,79
150,80
149,79
149,77
148,76
146,76
145,77
144,77
144,78
142,80
141,80
139,82
133,82
131,84
121,84
119,86
119,88
117,90
117,91
114,94
114,96
112,98
112,99
110,101
109,101
110,102
110,106
109,107
109,109
108,110
108,117
107,118
107,132
108,133
108,134
109,135
108,136
109,137
109,139
110,140
110,142
111,143
111,145
112,146
112,147
112,146
113,145
115,147
115,146
116,145
117,146
117,147
118,148
118,151
119,152
119,154
121,156
121,157
123,159
124,158
128,162
129,162
131,164
133,164
135,166
135,167
136,168
136,174
137,175
136,176
136,177
137,177
138,176
139,176
140,177
140,178
141,178
142,177
142,175
143,174
144,175
144,174
145,173
147,175
149,173
150,173
150,172
151,171
152,171
153,172
153,173
154,174
154,176
155,177
155,182
156,183
156,185
157,186
157,193
158,194
158,197
159,198
159,208
160,209
160,210
161,211
161,213
163,215
163,217
164,218
164,224
165,225
165,234
164,235
164,239
163,240
163,241
162,242
162,243
161,244
161,254
160,255
144,255
143,254
143,253
139,249
137,249
136,248
136,247
137,246
138,246
141,243
141,242
140,242
139,241
136,241
135,240
126,240
125,241
123,241
122,242
121,242
119,244
118,244
116,246
115,246
108,253
107,253
102,258
101,258
99,260
98,260
97,259
107,249
107,248
109,246
109,245
111,243
111,242
113,240
113,239
117,235
119,235
118,234
118,233
115,230
112,230
111,229
112,228
112,227
113,226
113,219
112,218
112,217
111,216
111,215
110,214
110,213
108,211
108,210
106,208
106,207
102,203
102,202
100,200
100,199
98,197
98,196
97,195
97,194
96,193
96,186
100,182
104,182
107,185
107,187
108,188
109,187
109,183
106,180
105,180
104,179
97,179
96,180
94,180
92,182
91,182
91,183
89,185
89,186
88,187
88,188
87,189
87,200
88,201
88,203
87,204
82,204
81,205
85,209
85,210
87,212
87,213
88,214
88,215
89,216
89,217
90,218
90,219
91,220
91,222
90,223
88,221
87,221
86,220
83,220
82,221
81,221
81,222
80,223
80,228
82,230
82,231
83,231
88,236
88,237
89,238
89,240
90,241
90,244
89,245
89,248
88,249
88,251
87,252
87,253
85,255
85,256
78,263
77,263
76,264
75,264
74,265
73,265
72,266
71,266
70,267
68,267
67,268
63,268
62,269
49,269
48,268
46,268
45,267
42,267
41,266
40,266
39,265
38,265
