x,y
277,118
277,120
276,121
276,124
275,125
275,127
274,128
274,131
273,132
273,135
272,136
272,138
271,139
271,142
270,143
270,145
269,146
269,149
268,150
268,153
267,154
267,156
266,157
266,160
265,161
265,164
264,165
264,167
263,168
263,171
262,172
262,174
261,175
261,178
260,179
260,182
259,183
259,185
258,186
258,189
257,190
257,192
256,193
256,196
255,197
255,200
254,201
254,203
253,204
253,207
252,208
252,209
251,210
249,208
248,208
247,207
245,207
244,206
234,206
233,207
230,207
229,208
228,208
227,209
226,209
225,210
224,210
219,215
219,216
218,217
218,219
217,220
217,222
218,223
218,225
222,229
223,229
224,230
225,230
226,231
239,231
240,230
242,230
243,229
245,229
247,227
248,227
252,223
252,222
253,221
253,220
254,219
254,217
255,216
255,213
256,212
256,210
257,209
257,206
258,205
258,202
259,201
259,199
260,198
260,195
261,194
261,191
262,190
262,188
263,187
263,184
264,183
264,181
265,180
265,177
266,176
266,173
267,172
267,170
268,169
268,166
269,165
269,163
270,162
270,159
271,158
271,155
272,154
272,152
273,151
273,148
274,147
286,159
286,160
289,163
289,164
290,165
290,166
291,167
291,168
292,169
292,172
293,173
293,179
292,180
292,183
291,184
291,186
290,187
290,188
289,189
289,190
288,191
288,192
287,193
287,194
286,195
286,196
290,192
290,191
292,189
292,188
293,187
293,185
294,184
294,182
295,181
295,177
296,176
296,172
295,171
295,166
294,165
294,163
293,162
293,161
292,160
292,159
291,158
291,156
289,154
289,153
288,152
288,151
287,150
287,149
286,148
286,147
284,145
284,144
283,143
283,142
282,141
282,140
281,139
281,137
280,136
280,124
281,123
281,119
279,119
278,118
