x,y
88,58
87,59
83,59
82,60
81,60
80,61
79,61
77,63
77,65
76,66
76,261
77,262
77,263
80,266
82,266
83,267
86,267
87,268
109,268
110,267
113,267
114,266
115,266
116,265
117,265
119,263
119,261
120,260
120,139
121,138
123,140
123,141
125,143
125,144
127,146
127,147
128,148
128,149
130,151
130,152
132,154
132,155
134,157
134,158
136,160
136,161
138,163
138,164
140,166
140,167
142,169
142,170
144,172
144,173
145,174
145,175
147,177
147,178
149,180
149,181
151,183
151,184
153,186
153,187
155,189
155,190
157,192
157,193
159,195
159,196
161,198
161,199
162,200
162,201
164,203
164,204
166,206
166,207
168,209
168,210
170,212
170,213
172,215
172,216
174,218
174,219
176,221
176,222
178,224
178,225
179,226
179,227
181,229
181,230
183,232
183,233
185,235
185,236
187,238
187,239
189,241
189,242
191,244
191,245
193,247
193,248
195,250
195,251
196,252
196,253
198,255
198,256
200,258
200,259
203,262
203,263
204,263
206,265
207,265
208,266
209,266
210,267
214,267
215,268
238,268
239,267
243,267
244,266
245,266
249,262
249,64
245,60
243,60
242,59
238,59
237,58
218,58
217,59
213,59
212,60
210,60
206,64
206,187
205,188
204,187
204,186
202,184
202,183
200,181
200,180
199,179
199,178
197,176
197,175
195,173
195,172
193,170
193,169
191,167
191,166
189,164
189,163
187,161
187,160
186,159
186,158
184,156
184,155
182,153
182,152
180,150
180,149
178,147
178,146
176,144
176,143
174,141
174,140
173,139
173,138
171,136
171,135
169,133
169,132
167,130
167,129
165,127
165,126
163,124
163,123
161,121
161,120
160,119
160,118
158,116
158,115
156,113
156,112
154,110
154,109
152,107
152,106
150,104
150,103
149,102
149,101
147,99
147,98
145,96
145,95
143,93
143,92
141,90
141,89
139,87
139,86
137,84
137,83
136,82
136,81
134,79
134,78
132,76
132,75
130,73
130,72
128,70
128,69
126,67
126,66
121,61
120,61
119,60
117,60
116,59
112,59
111,58
