x,y
63,15
62,16
61,16
61,17
62,16
64,16
65,17
65,18
66,19
66,21
67,21
68,22
69,22
70,23
70,24
72,26
72,27
75,30
75,33
73,35
72,35
70,37
70,38
66,42
62,42
61,43
61,44
60,45
60,46
57,49
54,49
53,50
53,51
51,53
52,54
52,57
53,58
53,60
50,63
50,64
46,68
46,70
47,71
47,72
48,73
48,74
49,75
49,76
46,79
46,81
45,82
44,82
42,84
42,85
41,86
41,89
40,90
40,91
39,92
39,93
38,94
38,99
39,100
42,100
44,102
45,102
46,103
47,103
48,104
48,105
49,105
51,107
51,108
52,108
53,109
56,109
57,110
57,111
59,113
60,112
60,111
59,110
59,107
60,106
61,106
62,107
62,108
63,108
64,109
65,109
68,112
69,112
72,115
73,115
74,116
75,116
77,118
78,118
79,119
81,119
82,120
83,120
85,122
89,122
90,123
90,124
91,125
91,127
94,130
94,133
95,134
96,134
98,132
99,132
101,134
101,136
102,137
103,137
105,139
106,139
107,140
108,140
109,141
111,141
115,145
116,145
118,147
119,147
120,148
121,148
121,147
124,144
126,144
129,147
130,147
131,148
133,148
136,151
137,151
139,153
140,153
144,157
146,157
147,156
151,156
152,155
154,155
156,157
156,159
157,160
157,166
165,166
166,167
167,167
168,168
176,168
180,172
180,173
181,174
184,174
186,172
186,171
187,170
186,169
186,168
187,167
195,167
196,168
197,168
198,169
199,169
200,170
201,170
202,171
203,171
204,172
205,172
206,173
207,172
207,168
208,167
210,169
214,169
218,165
222,169
223,168
225,170
225,171
226,171
227,172
232,172
233,173
237,173
238,174
240,174
241,175
241,176
242,177
242,180
243,181
243,182
242,183
242,185
241,186
241,188
242,189
243,189
244,190
245,190
246,191
248,191
249,190
251,192
253,192
255,194
255,195
256,195
258,197
258,198
261,198
262,197
264,197
265,198
265,199
264,200
265,201
265,202
266,203
273,203
274,202
276,202
277,201
279,201
282,198
286,198
289,201
289,204
288,205
288,206
289,207
289,208
291,210
292,210
294,212
295,212
296,211
297,211
300,208
304,208
307,211
308,210
309,211
311,211
312,210
316,210
317,211
318,211
319,212
320,212
321,213
322,213
323,214
324,214
327,217
328,217
329,218
330,218
331,219
332,219
333,220
335,218
336,219
337,219
338,218
339,218
342,215
344,215
345,214
346,214
347,213
348,214
348,217
349,218
349,219
350,220
352,220
353,221
354,220
355,220
356,221
356,222
357,222
358,223
360,223
361,222
361,221
362,220
364,220
365,219
367,219
369,221
370,221
371,222
372,222
373,221
374,221
375,220
379,220
379,219
380,218
381,219
382,219
383,218
384,218
389,223
390,223
390,222
393,219
393,218
394,217
393,216
393,214
394,213
394,212
395,211
395,210
396,209
396,208
397,207
397,198
396,197
396,196
395,195
395,191
394,191
393,190
393,189
392,189
390,187
390,186
389,185
389,183
390,182
390,177
391,176
391,175
392,174
392,173
391,172
391,171
392,170
392,163
393,162
393,161
394,160
394,159
395,158
395,157
396,156
396,154
397,153
397,150
398,149
398,148
397,147
395,147
394,146
392,146
391,145
387,145
386,144
385,144
384,145
382,143
381,143
380,144
380,145
379,146
379,147
376,150
374,148
373,149
372,149
370,147
369,147
368,148
366,148
365,149
363,147
362,148
361,148
360,149
359,149
358,148
356,148
355,149
351,149
350,148
350,147
349,146
349,145
347,143
344,143
343,142
342,142
339,139
336,139
334,137
334,136
333,135
330,135
329,136
328,136
327,135
325,135
325,137
324,138
324,139
323,140
323,141
320,144
318,144
317,143
316,143
315,142
314,142
313,141
312,141
311,140
311,139
310,138
310,136
311,135
310,134
310,133
309,132
308,132
308,133
306,135
305,135
304,136
304,140
305,141
305,144
304,145
301,145
299,143
299,142
300,141
297,138
297,136
296,135
296,134
295,133
295,132
294,131
293,131
289,127
289,122
288,121
287,121
286,122
286,124
284,126
283,125
282,125
281,124
279,124
278,123
276,123
273,126
272,125
271,125
270,126
269,125
268,125
266,123
265,123
264,124
263,124
262,123
262,117
265,114
265,108
264,108
262,106
259,106
254,111
253,110
252,111
249,111
248,110
247,110
246,109
245,109
244,108
244,107
240,103
234,103
232,101
232,99
230,97
227,97
226,96
225,96
223,94
223,91
224,90
224,89
221,86
222,85
222,84
220,82
220,81
222,79
221,78
219,78
218,77
218,76
217,76
216,75
213,75
212,74
207,74
206,75
204,75
204,76
202,78
200,78
198,80
197,80
196,81
195,81
194,80
193,80
192,79
192,78
188,74
188,73
187,72
187,69
186,69
184,67
184,65
182,65
181,64
181,62
180,61
179,61
177,59
172,59
170,57
167,57
166,56
166,55
163,55
162,56
161,55
161,54
160,54
157,51
157,49
155,47
154,48
153,47
153,46
152,46
150,44
150,43
148,41
147,42
146,42
143,39
142,39
141,38
139,38
138,37
136,37
135,36
134,36
133,35
133,33
134,32
130,28
130,23
129,22
127,22
126,23
124,23
123,22
120,22
119,21
115,21
114,20
113,20
112,19
111,19
110,18
108,18
107,19
105,19
103,21
102,20
101,20
100,19
98,19
98,28
97,29
97,30
95,32
92,32
92,34
93,35
93,37
92,38
91,38
90,39
87,39
85,37
85,35
84,34
84,32
82,30
82,27
81,26
78,26
76,24
75,24
74,23
73,23
68,18
67,18
65,16
64,16
