x,y
45,19
44,20
41,20
40,21
39,21
38,22
37,22
31,28
31,29
30,30
30,31
29,32
29,34
28,35
28,41
29,42
29,45
30,46
30,47
28,49
19,49
18,50
18,52
28,52
30,54
30,117
31,118
33,118
34,117
34,54
36,52
92,52
94,54
94,73
93,74
92,74
91,75
52,75
51,76
51,79
53,81
53,82
55,84
55,85
62,92
64,92
64,91
65,90
65,81
67,79
68,79
69,78
91,78
94,81
94,117
95,118
97,118
97,55
98,54
98,53
99,52
142,52
144,54
144,73
143,74
143,75
142,76
142,77
139,80
138,80
137,81
129,81
128,80
127,80
126,79
125,79
119,73
119,72
118,71
116,71
115,72
115,73
116,74
116,75
117,76
117,77
118,78
118,79
119,80
119,81
121,83
121,84
122,85
122,86
124,88
124,89
126,91
126,92
129,95
129,96
132,99
132,100
138,106
138,107
144,113
145,113
149,117
150,116
150,114
135,99
135,98
132,95
132,94
130,92
130,91
128,89
128,88
127,87
127,85
128,84
133,84
134,85
135,85
136,84
139,84
140,83
141,83
145,79
145,78
146,77
146,76
147,75
147,55
148,54
148,53
149,52
168,52
170,54
170,117
171,118
173,118
174,117
174,54
176,52
247,52
249,54
249,69
247,71
221,71
222,72
222,73
225,76
225,77
226,78
226,79
227,80
227,81
228,82
228,83
229,84
229,86
230,87
230,91
231,92
231,96
230,97
230,99
229,100
229,101
226,104
225,104
224,105
223,105
222,106
218,106
217,105
216,105
215,104
214,104
206,96
206,95
204,93
204,92
202,90
202,89
201,88
201,87
200,86
200,85
199,84
199,83
198,82
198,81
197,80
197,78
196,77
196,76
195,75
195,74
194,73
192,73
192,76
193,77
193,78
194,79
194,81
195,82
195,83
196,84
196,85
197,86
197,87
198,88
198,89
199,90
199,91
201,93
201,94
203,96
203,97
207,101
207,102
209,104
210,104
213,107
214,107
215,108
216,108
217,109
223,109
224,108
226,108
228,106
229,106
231,104
231,103
232,102
232,101
233,100
233,98
234,97
234,90
233,89
233,86
232,85
232,83
231,82
231,81
230,80
230,79
229,78
229,76
231,74
247,74
249,76
249,117
250,118
252,118
253,117
253,54
255,52
311,52
313,54
313,73
311,75
271,75
270,76
270,78
271,79
271,80
272,81
272,82
275,85
275,86
281,92
283,92
284,91
284,82
287,79
288,79
289,78
310,78
311,79
312,79
313,80
313,117
314,118
316,118
316,55
319,52
328,52
329,51
329,50
328,49
91,49
90,48
90,47
88,45
88,44
86,42
86,41
82,37
82,36
77,31
76,31
72,27
71,27
69,25
68,25
67,24
66,24
65,23
64,23
63,22
62,22
61,21
59,21
58,20
55,20
54,19
