x,y
230,13
229,14
227,14
226,15
225,15
224,16
224,17
225,18
225,19
226,20
226,22
227,23
227,24
226,25
222,25
218,29
218,30
217,31
216,31
211,36
211,37
210,38
210,39
209,40
209,41
207,43
207,44
205,46
205,47
203,49
203,50
199,54
199,55
198,56
198,59
200,59
201,60
203,60
204,61
205,61
206,62
207,62
208,63
209,63
210,64
212,64
213,65
215,65
216,66
217,66
218,67
219,67
220,68
222,68
223,69
224,69
227,72
227,75
228,76
228,79
229,80
229,84
230,85
230,90
229,91
226,91
224,93
224,94
225,95
225,96
227,98
230,98
232,100
232,101
233,102
233,105
234,106
234,145
233,146
233,176
232,177
232,207
231,208
231,209
230,210
195,210
193,208
193,200
192,199
192,193
191,192
191,186
190,185
190,177
189,176
189,169
188,168
188,161
187,160
187,153
186,152
186,132
187,131
187,130
188,129
188,118
187,117
187,112
186,111
186,102
185,101
185,100
182,97
182,96
181,95
181,93
182,92
182,86
179,83
177,83
176,84
175,84
174,85
174,87
173,88
173,94
172,95
172,96
167,101
167,104
166,105
166,107
165,108
165,109
164,110
164,111
163,112
163,114
162,115
162,116
161,117
162,118
162,119
167,119
168,120
168,142
169,143
169,151
168,152
168,160
167,161
167,169
166,170
166,178
165,179
165,188
164,189
164,196
163,197
163,204
162,205
162,209
161,210
130,210
127,207
127,205
126,204
126,201
125,200
125,197
124,196
124,193
123,192
123,189
122,188
122,177
121,176
121,173
120,172
120,170
119,169
119,163
118,162
118,158
117,157
117,153
116,152
116,147
115,146
115,143
114,142
114,138
113,137
113,136
114,135
114,131
115,130
115,126
121,120
122,120
125,117
126,117
127,116
128,116
129,115
130,115
131,114
132,114
135,117
135,118
136,119
136,120
137,121
137,123
138,124
138,125
139,126
139,123
140,122
140,112
139,111
139,109
138,108
138,107
136,105
136,104
135,103
135,101
136,100
136,98
135,97
135,96
134,95
134,94
133,93
133,92
132,91
132,86
133,85
133,84
130,81
130,75
127,72
126,72
122,68
118,68
116,66
116,65
115,64
114,64
113,63
112,63
111,62
108,62
107,61
107,58
108,57
108,55
110,53
111,53
111,50
109,48
106,51
99,51
97,53
97,55
95,57
94,57
93,56
92,56
91,57
91,58
92,59
92,60
91,61
92,62
92,64
91,65
90,65
89,66
88,66
87,67
88,68
88,69
85,72
84,72
81,75
81,76
79,78
79,79
78,80
78,82
77,83
77,84
76,85
76,86
77,87
77,94
76,95
76,97
78,99
78,100
79,101
79,102
78,103
78,106
79,107
79,108
82,111
82,114
83,115
83,123
84,124
84,125
85,125
86,126
87,126
90,129
90,130
91,131
91,156
90,157
90,161
89,162
89,164
88,165
88,168
87,169
87,171
86,172
86,177
85,178
85,188
84,189
84,195
83,196
83,204
82,205
82,208
80,210
54,210
53,209
53,201
52,200
52,161
53,160
53,151
54,150
54,144
55,143
55,142
56,141
56,139
55,138
55,133
54,132
54,129
53,128
53,100
54,99
54,95
52,93
52,92
49,89
49,84
48,83
48,76
47,75
47,74
46,73
45,73
44,72
43,73
42,73
40,75
40,76
39,77
39,89
38,90
38,91
37,92
37,95
36,96
36,97
35,98
35,104
36,105
36,109
35,110
35,127
34,128
34,143
35,144
35,145
36,146
36,147
37,148
37,191
36,192
36,200
35,201
35,208
33,210
17,210
16,211
16,221
17,221
18,222
635,222
637,220
637,212
635,210
584,210
582,208
582,201
581,200
581,196
580,195
580,190
581,189
581,188
582,187
588,187
591,184
592,184
596,180
596,179
597,178
597,173
596,172
596,170
595,169
595,167
594,166
594,161
593,160
593,158
594,157
594,156
596,154
598,154
600,156
601,156
602,157
603,157
605,159
605,160
607,162
607,163
608,164
608,165
609,166
609,167
613,167
620,160
621,160
625,156
625,155
626,154
626,153
625,152
625,150
616,141
615,141
613,139
612,139
603,130
602,130
601,129
600,129
599,128
597,128
596,127
593,127
592,126
589,126
588,125
585,125
584,124
582,124
581,123
578,123
577,122
576,122
575,121
575,119
574,118
574,116
573,115
573,113
572,112
572,111
571,110
571,109
569,107
569,106
568,105
568,104
567,103
567,101
564,98
564,95
565,94
564,93
564,91
563,90
563,89
564,88
564,86
566,84
567,84
569,82
568,81
561,81
560,80
560,77
559,76
559,75
555,71
555,68
554,68
552,70
552,72
551,73
551,76
552,77
552,80
548,84
548,86
546,88
549,91
549,93
546,96
546,97
547,98
547,99
546,100
546,101
545,102
545,104
544,105
544,106
543,107
543,108
541,110
541,111
540,112
540,123
541,124
541,136
542,137
542,155
541,156
541,163
540,164
540,177
539,178
539,181
540,182
540,185
541,186
541,190
540,191
540,206
539,207
539,208
537,210
509,210
507,208
507,207
506,206
506,202
505,201
505,195
504,194
504,190
505,189
505,188
506,187
506,186
507,185
507,181
506,180
506,178
505,177
506,176
505,175
505,172
504,171
504,170
503,169
503,163
502,162
502,160
503,159
504,159
505,160
505,161
506,162
506,163
507,164
507,165
508,166
508,168
509,169
509,170
510,171
510,172
511,173
511,174
512,175
512,177
513,178
513,179
514,180
514,181
515,182
515,183
516,184
516,185
517,186
517,187
518,188
519,188
518,187
518,186
517,185
517,183
516,182
516,181
515,180
515,179
514,178
514,177
513,176
513,175
512,174
512,173
511,172
511,171
510,170
510,169
509,168
509,167
508,166
508,164
506,162
506,161
505,160
505,159
504,158
504,155
505,154
507,156
507,157
508,158
508,159
510,161
510,162
511,163
511,164
512,165
512,166
513,167
513,168
515,170
515,171
516,172
516,173
518,175
518,176
519,177
519,178
520,179
520,180
522,182
522,179
521,178
521,177
520,176
520,175
518,173
518,172
517,171
517,170
516,169
516,168
514,166
514,165
513,164
513,163
512,162
512,161
511,160
511,159
510,158
510,157
509,156
509,155
507,153
507,152
506,151
506,150
505,149
505,148
504,147
504,146
502,144
502,143
501,142
501,141
500,140
502,138
504,140
504,141
507,144
507,145
508,146
508,147
510,149
510,150
513,153
513,154
516,157
516,158
518,160
518,161
520,163
520,164
523,167
523,168
525,170
525,171
