x,y
24,32
23,33
23,42
33,42
34,43
39,43
41,45
42,45
43,46
43,47
45,49
45,50
46,51
46,53
47,54
47,58
48,59
48,119
49,120
49,127
50,128
50,132
51,133
51,136
52,137
52,139
53,140
53,142
54,143
54,144
55,145
55,146
56,147
56,148
57,149
57,150
59,152
59,153
62,156
62,157
65,160
66,160
69,163
70,163
72,165
73,165
74,166
75,166
76,167
77,167
78,168
80,168
81,169
83,169
84,170
86,170
87,171
91,171
92,172
96,172
97,173
103,173
104,174
113,174
115,176
115,211
113,213
91,213
91,222
92,223
162,223
163,222
163,213
141,213
138,210
138,177
141,174
149,174
150,173
156,173
157,172
162,172
163,171
166,171
167,170
169,170
170,169
172,169
173,168
175,168
176,167
177,167
178,166
179,166
180,165
181,165
182,164
183,164
185,162
186,162
194,154
194,153
196,151
196,150
198,148
198,147
199,146
199,144
200,143
200,142
201,141
201,139
202,138
202,135
203,134
203,131
204,130
204,125
205,124
205,110
206,109
206,56
207,55
207,53
208,52
208,50
209,49
209,48
213,44
214,44
215,43
220,43
221,42
230,42
230,32
205,32
204,33
199,33
198,34
197,34
196,35
195,35
193,37
192,37
190,39
190,40
188,42
188,43
187,44
187,45
186,46
186,48
185,49
185,52
184,53
184,59
183,60
183,118
182,119
182,126
181,127
181,130
180,131
180,134
179,135
179,137
178,138
178,139
177,140
177,141
176,142
176,143
175,144
175,145
173,147
173,148
167,154
166,154
164,156
163,156
162,157
161,157
160,158
159,158
158,159
156,159
155,160
153,160
152,161
150,161
149,162
145,162
144,163
140,163
138,161
138,45
140,43
142,43
143,42
163,42
163,33
162,32
92,32
91,33
91,42
111,42
112,43
114,43
115,44
115,162
114,163
110,163
109,162
105,162
104,161
101,161
100,160
98,160
97,159
96,159
95,158
94,158
93,157
92,157
91,156
90,156
89,155
88,155
85,152
84,152
82,150
82,149
79,146
79,145
77,143
77,142
76,141
76,139
75,138
75,137
74,136
74,133
73,132
73,129
72,128
72,123
71,122
71,107
70,106
70,55
69,54
69,51
68,50
68,48
67,47
67,45
66,44
66,43
65,42
65,41
59,35
58,35
57,34
55,34
54,33
49,33
48,32
